time,treatment,subject,rep,potato,buttery,grassy,rancid,painty
1,3,86,1,6.7,4.5,1.5,0,0
1,3,86,2,7.9,7,2.5,0,0
2,1,3,1,9,0.3,0.1,5.8,0.3
2,1,3,2,5.5,0.5,2,8.6,0
2,1,10,1,8,3.1,3.1,6.2,1.7
2,1,10,2,10.2,8.4,0,0,0
2,1,15,1,5.3,1.4,0.1,3.9,6.5
2,1,15,2,7.3,2.3,0.5,3.3,0.5
2,1,16,1,4.1,5.1,0,2.8,0
2,1,16,2,11,3.8,0.7,2,0.4
2,1,19,1,8.7,0,0,12.8,11.3
2,1,19,2,11,7.5,0,0,0
2,1,31,1,9.7,3.3,0,12.1,1.1
2,1,31,2,4.1,0,1.2,11.9,7.6
2,1,51,1,9.4,6.7,1.5,11.1,2.8
2,1,51,2,14.3,1.9,0.1,1.1,0
2,1,52,1,6.5,1.6,2.8,1.1,0
2,1,52,2,8.2,1,2.1,1,0
2,1,63,1,8.9,0,0,2.3,0
2,1,63,2,8.7,0,0,1.1,0
2,1,78,1,3.3,0,1.3,0,6.3
2,1,78,2,4.5,1.7,0.5,6,8.9
2,1,79,1,5.9,0,2.3,0.5,0
2,1,79,2,6,0,2.8,0,0
2,1,86,1,6.7,6,0,0,0
2,1,86,2,5.9,6,3,0,0
2,2,3,1,14.1,0.9,0.3,2.1,0
2,2,3,2,3.3,0.7,1.6,0,1
2,2,10,1,11.2,7.6,1.6,0,0
2,2,10,2,8.2,6.8,0,0,0
2,2,15,1,12.7,5.6,0.7,0.2,0
2,2,15,2,3.9,2.7,0.4,3.1,0.6
2,2,16,1,5.4,4.8,0.7,3,0
2,2,16,2,2.6,0.7,0.7,0.1,0
2,2,19,1,11.2,10,1.9,6.5,0
2,2,19,2,4.3,3.7,2.7,2,0
2,2,31,1,10.6,1.4,0,1.3,0
2,2,31,2,6.6,0.4,0,10.6,3.6
2,2,51,1,9.2,3.4,1.2,5.7,5.4
2,2,51,2,11.6,4.6,0,10,0.1
2,2,52,1,9.7,3.6,0.4,0,0
2,2,52,2,10.2,3.5,0,0,0
2,2,63,1,12.2,0,0,0,0
2,2,63,2,10.7,0,0.2,0,0
2,2,78,1,6.7,0,5.1,3.8,2.1
2,2,78,2,7,0,1.3,0.6,3.1
2,2,79,1,10.9,3.2,2.1,1,0
2,2,79,2,10.4,1.1,0.5,1.4,0
2,2,86,1,3.9,7.9,1.4,0,0
2,2,86,2,8.3,2.4,0,0,0
2,3,3,1,6.5,0.6,0.7,0.1,1.4
2,3,3,2,13.8,0.8,0,6.6,0.4
2,3,10,1,10.3,5.7,2.1,10,5.3
2,3,10,2,10.2,4.4,0,0,0
2,3,15,1,6.3,3.6,3.5,3.4,0.2
2,3,15,2,10.4,3.2,1.6,0.1,0.4
2,3,16,1,8.2,7.3,1.3,3.7,0.1
2,3,16,2,1.5,2.4,1.2,0.1,0
2,3,19,1,11.4,3.6,5.8,1.4,0
2,3,19,2,6,3,10.5,0,0
2,3,31,1,10.5,0.4,0,5.8,6.3
2,3,31,2,8.1,0.5,0,9.3,5.4
2,3,51,1,12.2,4.7,0,3.1,3.9
2,3,51,2,12.1,5.2,4.4,2.7,5.7
2,3,52,1,10.7,2.8,0.8,0,0
2,3,52,2,9.1,1.9,1.6,0,0
2,3,63,1,6.2,0,0,9.8,1.8
2,3,63,2,6.5,0,0.6,0,1.4
2,3,78,1,2.7,1.9,0,1.2,1.3
2,3,78,2,4.4,0,1.5,0,7.1
2,3,79,1,7.7,1.1,0,2.6,0
2,3,79,2,6.7,0,0,0,0
2,3,86,1,7.7,1.6,2.6,0,0
2,3,86,2,4,5.7,0,0,0
3,1,3,1,11.8,0.2,0,6,0
3,1,3,2,7.8,0.5,0,11,0
3,1,10,1,9.3,7,0,2.6,3.8
3,1,10,2,9.1,6.6,0,7.7,0
3,1,15,1,3.4,0.2,0.2,7.2,2.6
3,1,15,2,5.7,2.7,0.1,3.8,0
3,1,16,1,1.5,0.2,3,3.8,1.7
3,1,16,2,4.2,2.1,0.3,0.1,0
3,1,19,1,11.2,9.6,3.6,12.7,2.5
3,1,19,2,11.8,6,0,5.2,0
3,1,31,1,8.2,0.8,0,5.2,0
3,1,31,2,8.8,0,0,10,4.8
3,1,51,1,6.1,1.4,0.2,11,0.1
3,1,51,2,10.1,3,1.1,8.5,0
3,1,52,1,6.6,0.7,4.1,0.3,0
3,1,52,2,10.4,2.9,0.9,1,0
3,1,63,1,8.9,0,0,4.2,3.6
3,1,63,2,10.8,0,0,0.8,0
3,1,78,1,2.5,1.3,0,0,6
3,1,78,2,6.3,1,0,3.8,1.7
3,1,79,1,8.6,1.4,0,0,0
3,1,79,2,3.8,0,1.1,1.6,0
3,1,86,1,9,4.6,2,5.1,0
3,1,86,2,10.6,2.9,3,0,0
3,2,3,1,4,0.1,0,9.2,0
3,2,3,2,9.9,0.5,0,11.4,0
3,2,10,1,10.1,8.2,0.1,0,0
3,2,10,2,9,7.5,0,0,0
3,2,15,1,8.3,2.8,0,0.3,0.1
3,2,15,2,6.1,1.8,0,1,0
3,2,16,1,2.6,0.3,0,0,0
3,2,16,2,9.6,4.2,0.9,0,0
3,2,19,1,4.8,0,0,0.9,1.4
3,2,19,2,5.6,1.7,0,1.4,9.4
3,2,31,1,10.2,0.2,0,10.1,8.2
3,2,31,2,10,0.4,0,9.1,8.2
3,2,51,1,6.6,4.2,0,7.5,2.9
3,2,51,2,9.3,1.9,2.9,2.6,0
3,2,52,1,7.2,2.7,1.8,0,0
3,2,52,2,8.2,1.6,3.9,0,0
3,2,63,1,12.8,0.7,0,0,0
3,2,63,2,10.7,0,0,5.9,0
3,2,78,1,7.5,2.9,0,0,2.5
3,2,78,2,2.4,0,0.8,0.7,4.8
3,2,79,1,8.4,0,0,0.9,0
3,2,79,2,5.4,0,0,2.6,0
3,2,86,1,9.4,5.2,4.8,1.9,0
3,2,86,2,5.2,3,2.2,4,0
3,3,3,1,7.3,0.2,0,7.1,0
3,3,3,2,7.3,0.5,0,11.1,0
3,3,10,1,9.6,8,0,0,0
3,3,10,2,11,8.4,0,0,0
3,3,15,1,5.2,0.7,0.3,5.5,0.5
3,3,15,2,6.5,1.6,0.3,1.5,0.9
3,3,16,1,10.6,0.4,0.5,1,0
3,3,16,2,8.6,2.1,2.5,0.7,0.8
3,3,19,1,6.4,4,1,4,0
3,3,19,2,9.7,1.7,2.9,10.8,0
3,3,31,1,7.6,0.5,0,6.8,0
3,3,31,2,8.7,0,0,7.7,9.1
3,3,51,1,9.1,3,0,4.4,5.1
3,3,51,2,9.3,0,0,6.8,3.5
3,3,52,1,8.1,0.2,2,0,0
3,3,52,2,10.2,1.2,0.9,0,0
3,3,63,1,9,0,0,2.6,0
3,3,63,2,9.1,0,0,6.7,0
3,3,78,1,9.2,2.6,1.8,0,0.8
3,3,78,2,2,1.1,0,0,6.5
3,3,79,1,7.5,2.1,0,0,0
3,3,79,2,8.7,5.1,0,0.7,0
3,3,86,1,5.2,1.5,2.1,5.9,2.9
3,3,86,2,5.7,1.5,2.7,3.1,0
4,1,3,1,13.6,0.1,0,1.7,0
4,1,3,2,5.3,0,0,0.9,0
4,1,10,1,8.1,4.4,0,6.5,1.1
4,1,10,2,9.1,5.8,0,0,0
4,1,15,1,8.1,0.6,0.4,0.2,0
4,1,15,2,7.2,0.4,0.6,0.1,0
4,1,16,1,6.8,0.9,1.2,0.1,0
4,1,16,2,10.5,1.3,0.4,2.8,0
4,1,19,1,8.9,4.4,0,0,0
4,1,19,2,6.9,2.3,11.1,3.2,0
4,1,31,1,11.7,0.8,0,5.1,0.9
4,1,31,2,3.4,0.3,0,3.7,0
4,1,51,1,9.3,2.5,0.7,8.8,9.2
4,1,51,2,13.2,5.4,2.1,2.7,0
4,1,52,1,8.5,3.9,0.2,0,0
4,1,52,2,8.9,2.6,1.8,0,0
4,1,63,1,10.4,0,0,3,0
4,1,63,2,11.4,0.5,0,1.7,0
4,1,78,1,9.4,1,1.2,3.2,0
4,1,78,2,3.2,1.1,2.3,0,0
4,1,79,1,8.4,1.8,0,0,0
4,1,79,2,7,0,0,1.4,0
4,1,86,1,8.3,5.8,0,0,0
4,1,86,2,4.1,1.6,2.6,4.8,0
4,2,3,1,12.9,0,0,1.3,0
4,2,3,2,12.7,0,0,0.8,0
4,2,10,1,8.4,5.6,0,4.3,0
4,2,10,2,9,7.7,0,1.4,0
4,2,15,1,5.1,0.6,0,1.8,0
4,2,15,2,8.7,1.1,0,0.2,0.1
4,2,16,1,3.8,1.1,2.1,4.7,0
4,2,16,2,7.4,4.9,1.1,2.5,0
4,2,19,1,10.5,6.4,0,10.8,4.4
4,2,19,2,12.9,1.4,1.3,9.7,5.4
4,2,31,1,6.8,0,1,5,8.6
4,2,31,2,10.5,0.3,0,6,6.6
4,2,51,1,10.9,2.2,3.3,4.5,7.4
4,2,51,2,13.2,3.1,0.7,0.1,4.2
4,2,52,1,6.8,0.5,2.4,3.1,0
4,2,52,2,8.3,1.3,2,0.5,0
4,2,63,1,8,0,0,9.3,2.1
4,2,63,2,11.6,0,0,4,0.8
4,2,78,1,3.9,0,0,0,1.6
4,2,78,2,1.1,0,0,0,3.4
4,2,79,1,8.5,0,0,2.7,0
4,2,79,2,10.7,0.9,0,0,0
4,2,86,1,2.7,0.9,1.5,5.2,0
4,2,86,2,2.5,0.6,0,6.4,0
4,3,3,1,1.5,0.5,0.4,7.8,0
4,3,3,2,5.9,0.2,0,1.3,0
4,3,10,1,10.3,8.4,0,0,0
4,3,10,2,9.5,7.1,0,5.7,0
4,3,15,1,5.2,0.4,0.3,2,0
4,3,15,2,7,0.3,0.1,2.9,0
4,3,16,1,12.7,5.4,2.2,4.1,1
4,3,16,2,6.8,4.4,2.8,5.8,1
4,3,19,1,5.8,1.6,0,6.5,0
4,3,19,2,4.7,0,0,6.4,0
4,3,31,1,11,2.8,0,2.7,3.1
4,3,31,2,9.2,0,0,7.9,2.6
4,3,51,1,7,3.7,0.1,12.9,0
4,3,51,2,10.3,2.1,2.7,7.2,5.3
4,3,52,1,3.3,1.7,0.9,5.6,0
4,3,52,2,5.2,0.8,1.4,6.4,0
4,3,63,1,5.6,0,0,13.3,4.4
4,3,63,2,5.8,0,0,11.2,3.4
4,3,78,1,7.7,1.3,0,0,5.6
4,3,78,2,3.5,2.9,1.1,2.7,6.2
4,3,79,1,5.7,0,0,2.5,0
4,3,79,2,9.2,0,0,1,0
4,3,86,1,1.4,0,1.4,4.7,5.7
4,3,86,2,2.5,0,0,4.6,4.7
5,1,3,1,14,0.3,0,0,1.7
5,1,3,2,12.9,0.8,0,2.8,0
5,1,10,1,9.6,8.4,1.5,10.2,2.4
5,1,10,2,8.7,5.4,2.6,9.3,3.9
5,1,15,1,4.1,0.3,0.3,4.9,1.3
5,1,15,2,3.2,0.2,0.5,2.5,0.1
5,1,16,1,10.1,0.4,2.8,10.2,2
5,1,16,2,10.5,3.9,1.4,7.5,1
5,1,19,1,5.3,0.9,1.7,11.5,7.1
5,1,19,2,9.9,1.7,3.3,0.9,7.1
5,1,31,1,11.2,0,0.4,1.1,0
5,1,31,2,9.9,0.3,0,2.5,3.3
5,1,51,1,9.2,2.4,0.2,9.5,6.2
5,1,51,2,12.5,4.7,1,7.1,2.3
5,1,52,1,4.1,0,0,6.5,3.2
5,1,52,2,6.4,0,0.3,7.1,0.3
5,1,63,1,9.8,0,0,2,5.2
5,1,63,2,4.2,0,0,1.3,9.8
5,1,78,1,3.3,1.1,1.3,0,3.3
5,1,78,2,5,1.2,0,1.1,6
5,1,79,1,8,0.8,0,0,0
5,1,79,2,8.1,0,0,0,0
5,1,86,1,2.2,0,0,2.7,2.8
5,1,86,2,3.6,0,1.2,2,3.2
5,2,3,1,3.4,0,0,3.2,0
5,2,3,2,13.7,1.7,0,4,0
5,2,10,1,9.2,7.5,0,3.5,0
5,2,10,2,8.5,2.8,0,7.1,2.2
5,2,15,1,4.1,0.2,0.2,0.8,0
5,2,15,2,1.5,0.3,0.4,4.7,0.4
5,2,16,1,13.4,5,0.1,0.9,0.5
5,2,16,2,11,6.8,0.2,0.7,0
5,2,19,1,7.6,5,0,1.1,0
5,2,19,2,5.5,4.7,0,13.4,4.6
5,2,31,1,5.4,0,0.5,2.1,0.4
5,2,31,2,6.5,0,0,1.5,0
5,2,51,1,8,2.9,0.7,9.5,0
5,2,51,2,12.7,4.7,2.2,0.1,0
5,2,52,1,4.9,0,7.1,3.9,0
5,2,52,2,5.9,0,0.2,7.7,0.9
5,2,63,1,4.4,0,0,13.8,0.6
5,2,63,2,7.5,0,0,3.2,4.7
5,2,78,1,5.6,0,0.9,0,0
5,2,78,2,2.4,0,0,0,3.4
5,2,79,1,10.1,0,0,0,0
5,2,79,2,6.1,0.5,0,0,0
5,2,86,1,5.8,1.5,0,3.5,0
5,2,86,2,3.2,1,1.5,2.7,0
5,3,3,1,4,0,0,4.6,0
5,3,3,2,10.1,4.3,0,0,3.2
5,3,10,1,10.7,8.8,0,0,0
5,3,10,2,9,4.3,0,0,0
5,3,15,1,NA,NA,NA,NA,NA
5,3,15,2,3.6,0.2,0.4,4.6,0.4
5,3,16,1,5.2,1,0.5,0,0
5,3,16,2,6.7,2,0,0.5,0
5,3,19,1,10.2,2.9,0,0,1.5
5,3,19,2,7.1,0,4.2,11.1,10.3
5,3,31,1,12.3,2.7,0,9.8,6.9
5,3,31,2,11.5,0,0.3,2.6,4.2
5,3,51,1,10.6,4.4,2.5,1.7,0
5,3,51,2,7.5,2.3,2.3,4.6,5.1
5,3,52,1,6.3,0.1,0.8,2.1,0
5,3,52,2,4,0,0,1.4,9.2
5,3,63,1,9.1,0,0,0,1.4
5,3,63,2,9,0,0,5.3,9.7
5,3,78,1,3.4,0.8,1.6,1.5,1.3
5,3,78,2,1.5,0.8,0,0,0
5,3,79,1,7.9,0,0,1.6,0
5,3,79,2,9.4,0.5,0,0.6,0
5,3,86,1,5.4,4,0,3,0
5,3,86,2,3.6,0.1,0,5.5,0
6,1,3,1,0.4,1.2,0,0,9.5
6,1,3,2,3.3,1.1,0,0,3
6,1,10,1,13.2,11.2,0,2.4,0
6,1,10,2,10,7.6,0,0,0
6,1,15,1,0,0.3,0.2,2.9,8.7
6,1,15,2,2.6,0.2,1.5,7.1,4.7
6,1,16,1,4.9,0.3,0.3,7.4,1.2
6,1,16,2,8.9,4.2,1.6,7.4,2.2
6,1,19,1,12.2,9.5,0,4.1,0
6,1,19,2,11.1,0,3.8,7.2,2.8
6,1,31,1,12,0,0,0.6,0
6,1,31,2,8.2,0,0,4.3,0.6
6,1,51,1,10.2,4.7,1.7,1.6,0
6,1,51,2,8.5,2.5,2.1,7.9,4.5
6,1,52,1,3.8,0,0,9.4,0.8
6,1,52,2,3.7,0,0,8.3,2.2
6,1,63,1,3.1,0,0,9.5,6.2
6,1,63,2,4.2,0,0,9.5,5
6,1,78,1,1.5,0,0,2.1,4.3
6,1,78,2,1.1,0.6,0,0,0.9
6,1,79,1,11.4,0.4,0,0,0
6,1,79,2,7.9,0,0,0.4,0
6,1,86,1,1,0,0,6.4,0.9
6,1,86,2,2.7,0,0,5.6,3.8
6,2,3,1,7.3,0.7,0,10.2,0
6,2,3,2,1.8,1.9,0,0,6.7
6,2,10,1,10.7,7.7,0,0,0
6,2,10,2,11.4,6.8,0,0,0
6,2,15,1,3.4,0.3,0.3,1.4,2
6,2,15,2,4.6,1.5,0.5,1.2,0.1
6,2,16,1,11.8,2.7,6.6,9.5,1
6,2,16,2,10.8,4.3,3,11.7,4.6
6,2,19,1,7.6,0,2.9,0,0
6,2,19,2,11.1,1.5,0,11.5,12.2
6,2,31,1,11.4,0.8,0,0.4,0
6,2,31,2,6.9,1.6,1.3,10.5,9.9
6,2,51,1,10.6,3.1,0,5.5,0
6,2,51,2,6.3,8.2,1.1,5.2,0
6,2,52,1,6.3,0.8,1.8,4.2,0
6,2,52,2,5.6,0.7,0.8,6.3,2.6
6,2,63,1,5.2,0,0,2.8,11.1
6,2,63,2,6.1,0,0,2.8,8.8
6,2,78,1,3.4,0,0,1.7,7
6,2,78,2,1.3,0,1.1,0,0
6,2,79,1,5.7,0,0,1.1,0
6,2,79,2,9.4,0.8,0,0.5,0
6,2,86,1,6.4,5.3,2.7,0,0
6,2,86,2,3.3,0.6,0,5.7,0
6,3,3,1,2.2,1,0,8.9,0.9
6,3,3,2,5.3,2.2,0,0,4.7
6,3,10,1,10.8,5.4,0,0,0
6,3,10,2,11.5,5.5,0,6.8,0
6,3,15,1,1,0.1,0.1,2.4,6
6,3,15,2,4.3,0.2,0.3,0.6,0.5
6,3,16,1,5.3,0.8,3.1,9.8,1.3
6,3,16,2,12.1,5.1,0.9,3.2,0.2
6,3,19,1,10.6,1,0,0,0
6,3,19,2,6.1,3.6,0,13,6
6,3,31,1,8.3,0,0,3.8,0.3
6,3,31,2,8.1,0,2.5,7.2,9.7
6,3,51,1,12.4,4.5,0.9,5.4,2
6,3,51,2,8.5,2.5,2.3,5.9,0
6,3,52,1,4.4,0,0.8,6.3,0.4
6,3,52,2,3.9,0,1.1,5.2,0.4
6,3,63,1,6.5,0,0,4.7,1.7
6,3,63,2,11.4,0,0,2.8,0.8
6,3,78,1,5.5,0,1.5,1.8,2.9
6,3,78,2,4.3,0,1.2,0,2.4
6,3,79,1,8.4,0,0.5,1,0
6,3,79,2,8.8,0,0,1.1,0
6,3,86,1,2.2,1.2,0,2.8,0
6,3,86,2,4.1,0,0,4.4,1.1
7,1,3,1,2.9,0,0,0,5.5
7,1,3,2,0.8,0,0,0,8.2
7,1,10,1,11,6.4,0,0,0
7,1,10,2,8.7,3.7,0,5.1,0
7,1,15,1,1.2,0.1,0,1.1,5.1
7,1,15,2,2.9,0,0,5.5,2.7
7,1,16,1,9,2.6,0.4,0.1,0.2
7,1,16,2,7.2,5.7,0.1,0,0.1
7,1,19,1,7,3.2,0,4.9,3.2
7,1,19,2,5.5,1.5,0,0,0
7,1,31,1,12.2,0,0,2.5,2
7,1,31,2,9.4,0,0,5.6,0
7,1,51,1,8.6,1.7,0.1,1.4,0.1
7,1,51,2,14.1,1.4,0,4.5,0
7,1,52,1,5.8,0,1.7,8.5,1.1
7,1,52,2,3.2,0.1,1.6,9.5,2.1
7,1,63,1,8.3,0,0,1.1,0.4
7,1,63,2,6.2,0,0,5.1,2.1
7,1,78,1,4.9,1.2,0,1.1,3.5
7,1,78,2,0.5,1,0,0,2
7,1,79,1,5.1,0,0,2,0
7,1,79,2,9.9,0,0,0,0
7,1,86,1,5.2,1.2,0,7.9,4.9
7,1,86,2,1.2,0,0,11,9.5
7,2,3,1,1.5,0.6,0,0,7.6
7,2,3,2,3.5,1.2,0,0,7.9
7,2,10,1,10.5,9,0,0,0
7,2,10,2,9.6,4.4,0,6.1,0
7,2,15,1,0.4,0.1,0.2,1.3,4.7
7,2,15,2,1.7,0,0,3.4,1.8
7,2,16,1,3.7,1.6,0,1.5,0
7,2,16,2,8.1,5.6,0.3,0.2,0.1
7,2,19,1,6.5,0,0,6.6,8.9
7,2,19,2,9.3,0,6.7,10.9,3
7,2,31,1,6.1,0,0,6,8.5
7,2,31,2,7,0,0,8.5,3
7,2,51,1,7.3,2.5,0,5,5.3
7,2,51,2,12.4,4.4,3.2,0,0.1
7,2,52,1,4.1,0.3,1.5,8.8,2.6
7,2,52,2,4.2,0,1.3,10.5,1.4
7,2,63,1,10.4,0.5,0,3.2,6.9
7,2,63,2,9.8,0,0,0.3,1.3
7,2,78,1,1.3,0,0,1.9,1.5
7,2,78,2,1.4,1,0,0,0
7,2,79,1,7.3,NA,0,0.7,0
7,2,79,2,6.6,0,0,2,0
7,2,86,1,1.2,0,0,10.1,7.3
7,2,86,2,3.6,0,0,5.1,1.1
7,3,3,1,0.9,0.7,0,0,3
7,3,3,2,2.6,0.9,0,0,9.8
7,3,10,1,7.1,2.7,0,7.4,0
7,3,10,2,9.5,8.1,0,3.9,0
7,3,15,1,1.2,0,0,5.4,3.8
7,3,15,2,1,0.1,0.1,3.1,6
7,3,16,1,12.7,5.1,0,0.6,0
7,3,16,2,10.8,7.5,0.1,1.2,0
7,3,19,1,8.6,0,0,10.4,0
7,3,19,2,9,0,0,13,11.5
7,3,31,1,6.4,0,0,5,3.6
7,3,31,2,12,0.4,0,11.3,8
7,3,51,1,9.4,2.2,2.9,8.4,1.6
7,3,51,2,8.7,4.6,1.1,4.5,4.9
7,3,52,1,6.4,0.3,1.1,7,0
7,3,52,2,5.7,0.8,3.7,6,0.2
7,3,63,1,9.5,0,0,1.4,0
7,3,63,2,10.7,0.5,0,8.1,0.9
7,3,78,1,4.3,0,0,3.4,6.2
7,3,78,2,0.2,0,0,1,3.5
7,3,79,1,7.2,0,0,0.7,0.5
7,3,79,2,6.5,0,0,1.5,0
7,3,86,1,3,2.3,2.8,0,0
7,3,86,2,2.4,0,1.4,7.5,4
8,1,3,1,3.5,0.5,1.3,0,3.8
8,1,3,2,0.6,0.3,0,0,8.1
8,1,10,1,10.2,8.2,0,5.2,0
8,1,10,2,8.6,4,0,8.6,3.5
8,1,15,1,1.9,1.9,0.1,3.9,5.4
8,1,15,2,0.6,0,0,6.2,2.6
8,1,16,1,2.4,1,1.8,9.7,2.9
8,1,16,2,0.9,0.3,0.2,2.4,2.7
8,1,19,1,5.4,3.5,0,2.1,0
8,1,19,2,11,0,11.1,10,2
8,1,31,1,4,0,0,10,1.2
8,1,31,2,6.6,0,0,10.8,10.3
8,1,51,1,14.9,0.8,0.7,1,0
8,1,51,2,11.5,1.3,0,1,3.8
8,1,52,1,2.1,0,0,4.9,6.5
8,1,52,2,1.7,0,0,3.3,6.4
8,1,63,1,5.9,0,0,12.4,9.2
8,1,63,2,3.8,0,0,10.5,12.9
8,1,78,1,1.5,0,0,0,1.3
8,1,78,2,1.6,0.9,0,7.2,8.3
8,1,79,1,10.5,NA,0,0.5,0
8,1,79,2,9.8,0,0,0,0
8,1,86,1,3.8,0,0,11.6,7.6
8,1,86,2,1.4,0,0,8,11.6
8,2,3,1,0.9,0.3,0,0,6.8
8,2,3,2,0.5,0.3,0,0,7.6
8,2,10,1,10.9,4.6,0,0,0
8,2,10,2,10.3,9.3,0,2.6,0
8,2,15,1,3.2,0.1,0.3,1,3.6
8,2,15,2,2.3,0,0.1,3.1,5.6
8,2,16,1,4.5,NA,1.4,6.7,0
8,2,16,2,5.3,3.5,0.2,1.5,0
8,2,19,1,11.2,2.2,0,4.1,0
8,2,19,2,8.7,5.2,0,0,0
8,2,31,1,7.8,1.1,0,3.9,0
8,2,31,2,9.9,1,0,5.5,9.1
8,2,51,1,13.8,1.4,2,1.2,0
8,2,51,2,8.5,6.2,4.1,4.8,2.3
8,2,52,1,3.9,0,0,8.2,2.9
8,2,52,2,0,0,0,0.5,8.7
8,2,63,1,3.9,0,0,11.4,9.7
8,2,63,2,5.7,0,0,8.6,4.2
8,2,78,1,4,0,0,3,3.6
8,2,78,2,2.1,1.2,0,7.2,6.3
8,2,79,1,8.2,0,0,1,0
8,2,79,2,5.7,0,1.4,2.3,NA
8,2,86,1,1.3,0,0,8.8,10.5
8,2,86,2,2.8,0,0,6.4,8
8,3,3,1,1.5,0.6,0,0,5.9
8,3,3,2,0.5,0.5,0,0,11.3
8,3,10,1,10,6,0,1,0
8,3,10,2,10.9,4.5,0,6.4,0
8,3,15,1,0.6,0,0,0.6,3.4
8,3,15,2,0.2,0.1,0.2,2,6.8
8,3,16,1,2.2,0.9,0.5,7.8,0.1
8,3,16,2,3.3,1.2,0.1,0.3,0
8,3,19,1,11.1,2.9,0,0,5.3
8,3,19,2,11.5,0,0,12.6,8.5
8,3,31,1,4.2,0,0,6.8,3.3
8,3,31,2,8.1,0,0,2,0
8,3,51,1,14.5,5.5,1.9,0.1,0.1
8,3,51,2,14,1.1,0,3,0.1
8,3,52,1,0,0,0,3.2,7.2
8,3,52,2,3.2,0,0,10.1,3.5
8,3,63,1,7.8,0,0,6.6,0.4
8,3,63,2,8.6,0.4,0,4.2,6.6
8,3,78,1,0.8,0,0,0,0.6
8,3,78,2,3.2,0,0,0.7,1.3
8,3,79,1,6.8,0,0,0.5,0
8,3,79,2,5.7,0,0,1.4,0
8,3,86,1,1.4,0,0,10.8,7.5
8,3,86,2,1.4,0,0,6.4,8.7
9,1,3,1,1.1,0.4,0,0,7
